date,home_team,home_continent,opponent_team,opponent_continent,winner
8/22/1967,India,Asia,Taiwan,Asia,Taiwan
11/14/1971,South Korea,Asia,Vietnam Republic,Asia,South Korea
5/7/1972,South Korea,Asia,Iraq,Asia,Iraq
5/17/1972,Thailand,Asia,South Korea,Asia,South Korea
5/19/1972,Thailand,Asia,Cambodia,Asia,Thailand
4/21/1973,Senegal,Africa,Ghana,Africa,Ghana
6/14/1973,Guinea,Africa,Mali,Africa,Guinea
6/14/1973,Mauritius,Africa,Tanzania,Africa,Mauritius
7/26/1973,Malaysia,Asia,Kuwait,Asia,Malaysia
7/26/1973,Cambodia,Asia,Singapore,Asia,Singapore
7/27/1973,Bangladesh,Asia,Thailand,Asia,Thailand
7/28/1973,Myanmar,Asia,South Korea,Asia,Myanmar
8/9/1973,India,Asia,Vietnam Republic,Asia,Vietnam Republic
8/23/1973,Algeria,Africa,Syria,Asia,Syria
8/25/1973,Algeria,Africa,Iraq,Asia,Algeria
3/28/1974,Qatar,Asia,United Arab Emirates,Asia,Qatar
7/24/1974,Hong Kong,Asia,Indonesia,Asia,Indonesia
8/1/1974,India,Asia,Indonesia,Asia,Indonesia
10/9/1974,Syria,Asia,Morocco,Africa,Morocco
11/22/1974,Libya,Africa,Tunisia,Africa,Tunisia
12/18/1974,South Korea,Asia,Malaysia,Asia,South Korea
7/13/1975,Morocco,Africa,Ghana,Africa,Morocco
11/9/1975,Kenya,Africa,Malawi,Africa,Kenya
12/23/1975,Libya,Africa,Syria,Asia,Syria
6/20/1976,Czechoslovakia,Europe,Germany,Europe,Czechoslovakia
12/22/1976,South Korea,Asia,Malaysia,Asia,Malaysia
1/9/1977,Tunisia,Africa,Morocco,Africa,Tunisia
3/22/1977,Argentina,South America,Iran,Asia,Argentina
6/26/1977,Zambia,Africa,Algeria,Africa,Zambia
7/27/1977,Iran,Asia,Morocco,Africa,Iran
8/31/1977,Paraguay,South America,Argentina,South America,Paraguay
1/13/1979,Guinea-Bissau,Africa,Mali,Africa,Mali
1/14/1979,Guinea-Bissau,Africa,Guinea,Africa,Guinea
4/29/1979,Cameroon,Africa,Guinea,Africa,Guinea
5/22/1979,Argentina,South America,Netherlands,Europe,Argentina
2/16/1980,Gambia,Africa,Mauritania,Africa,Gambia
3/19/1980,Algeria,Africa,Egypt,Africa,Algeria
6/21/1980,Italy,Europe,Czechoslovakia,Europe,Czechoslovakia
7/12/1980,Nigeria,Africa,Tunisia,Africa,Nigeria
11/30/1980,Zambia,Africa,Morocco,Africa,Morocco
12/31/1980,Hong Kong,Asia,China PR,Asia,China PR
2/13/1981,Mali,Africa,Guinea,Africa,Guinea
5/10/1981,Rwanda,Africa,Ethiopia,Africa,Ethiopia
2/21/1982,Ivory Coast,Africa,Togo,Africa,Togo
2/22/1982,Ivory Coast,Africa,Burkina Faso,Africa,Burkina Faso
3/19/1982,Libya,Africa,Ghana,Africa,Ghana
5/15/1982,Thailand,Asia,Singapore,Asia,Thailand
5/17/1982,Thailand,Asia,South Korea,Asia,Thailand
7/8/1982,Germany,Europe,France,Europe,Germany
10/17/1982,Indonesia,Asia,Malaysia,Asia,Indonesia
11/27/1982,Uganda,Africa,Kenya,Africa,Kenya
2/6/1983,Senegal,Africa,Niger,Africa,Senegal
2/20/1983,Gambia,Africa,Sierra Leone,Africa,Gambia
2/27/1983,Mali,Africa,Guinea,Africa,Mali
4/22/1983,Egypt,Africa,Congo,Africa,Egypt
4/24/1983,Mauritius,Africa,Ethiopia,Africa,Ethiopia
7/18/1983,Hong Kong,Asia,Thailand,Asia,Thailand
8/28/1983,Morocco,Africa,Nigeria,Africa,Nigeria
10/20/1983,Brazil,South America,Paraguay,South America,Brazil
12/15/1983,Ivory Coast,Africa,Mali,Africa,Ivory Coast
12/18/1983,Mali,Africa,Nigeria,Africa,Mali
2/16/1984,Sierra Leone,Africa,Mali,Africa,Sierra Leone
2/19/1984,Sierra Leone,Africa,Senegal,Africa,Senegal
3/14/1984,Egypt,Africa,Nigeria,Africa,Nigeria
3/14/1984,Algeria,Africa,Cameroon,Africa,Cameroon
3/28/1984,Iraq,Asia,Qatar,Asia,Iraq
6/24/1984,Denmark,Europe,Spain,Europe,Spain
7/15/1984,Senegal,Africa,Angola,Africa,Angola
11/23/1984,Kenya,Africa,Somalia,Africa,Kenya
11/28/1984,Ghana,Africa,Togo,Africa,Ghana
12/8/1984,Kenya,Africa,Somalia,Africa,Kenya
12/13/1984,Saudi Arabia,Asia,Iran,Asia,Saudi Arabia
12/15/1984,Malawi,Africa,Zambia,Africa,Zambia
12/16/1984,Iran,Asia,Kuwait,Asia,Kuwait
12/16/1984,Chad,Africa,Equatorial Guinea,Africa,Chad
12/19/1984,Central African Republic,Africa,Gabon,Africa,Gabon
12/20/1984,Congo,Africa,Cameroon,Africa,Cameroon
4/16/1985,Mozambique,Africa,Malawi,Africa,Mozambique
4/21/1985,Madagascar,Africa,Egypt,Africa,Egypt
7/10/1985,Bahrain,Asia,Qatar,Asia,Bahrain
7/12/1985,Saudi Arabia,Asia,Qatar,Asia,Saudi Arabia
8/25/1985,Mali,Africa,Guinea,Africa,Guinea
9/15/1985,Mozambique,Africa,Libya,Africa,Mozambique
10/11/1985,Kenya,Africa,Uganda,Africa,Kenya
3/21/1986,Egypt,Africa,Cameroon,Africa,Egypt
6/21/1986,Brazil,South America,France,Europe,France
6/21/1986,Mexico,North America,Germany,Europe,Germany
6/22/1986,Spain,Europe,Belgium,Europe,Belgium
10/19/1986,Gabon,Africa,Angola,Africa,Angola
12/17/1986,Chad,Africa,Gabon,Africa,Chad
3/1/1987,Mali,Africa,Sierra Leone,Africa,Mali
3/2/1987,Senegal,Africa,Sierra Leone,Africa,Senegal
6/19/1987,Australia,Oceania,Egypt,Africa,Australia
6/21/1987,South Korea,Asia,Australia,Oceania,South Korea
7/19/1987,DR Congo,Africa,Senegal,Africa,DR Congo
12/13/1987,Malawi,Africa,Zimbabwe,Africa,Zimbabwe
12/18/1987,Equatorial Guinea,Africa,Gabon,Africa,Gabon
12/27/1987,Ethiopia,Africa,Zimbabwe,Africa,Ethiopia
1/6/1988,South Korea,Asia,Egypt,Africa,South Korea
3/23/1988,Algeria,Africa,Nigeria,Africa,Nigeria
3/26/1988,Morocco,Africa,Algeria,Africa,Algeria
3/31/1988,Germany,Europe,Sweden,Europe,Sweden
5/5/1988,Mali,Africa,Senegal,Africa,Mali
5/8/1988,Guinea,Africa,Mali,Africa,Guinea
5/28/1988,Canada,North America,Greece,Europe,Canada
7/19/1988,Egypt,Africa,Syria,Asia,Syria
7/21/1988,Iraq,Asia,Syria,Asia,Iraq
9/29/1988,Chile,South America,Ecuador,South America,Ecuador
10/16/1988,Eswatini,Africa,Tanzania,Africa,Eswatini
12/6/1988,Central African Republic,Africa,Gabon,Africa,Gabon
12/17/1988,China PR,Asia,Iran,Asia,Iran
12/18/1988,South Korea,Asia,Saudi Arabia,Asia,Saudi Arabia
4/23/1989,Ghana,Africa,Gabon,Africa,Gabon
4/23/1989,Kenya,Africa,Sudan,Africa,Kenya
11/8/1989,Iran,Asia,Uganda,Africa,Uganda
11/12/1989,Iraq,Asia,Uganda,Africa,Iraq
12/11/1989,Chad,Africa,Cameroon,Africa,Cameroon
12/16/1989,Malawi,Africa,Uganda,Africa,Uganda
1/28/1990,Nigeria,Africa,Senegal,Africa,Nigeria
2/4/1990,United States,North America,Colombia,South America,Colombia
2/20/1990,Colombia,South America,Russia,Europe/Asia,Colombia
5/18/1990,Zimbabwe,Africa,Eswatini,Africa,Zimbabwe
6/25/1990,Republic of Ireland,Europe,Romania,Europe,Republic of Ireland
6/30/1990,Yugoslavia,Europe,Argentina,South America,Argentina
7/3/1990,Italy,Europe,Argentina,South America,Argentina
7/4/1990,Germany,Europe,England,Europe,Germany
8/3/1990,China PR,Asia,South Korea,Asia,South Korea
12/17/1990,Tanzania,Africa,Uganda,Africa,Uganda
12/17/1990,Central African Republic,Africa,Equatorial Guinea,Africa,Central African Republic
1/21/1991,Cameroon,Africa,Algeria,Africa,Cameroon
1/21/1991,Senegal,Africa,Ivory Coast,Africa,Ivory Coast
1/22/1991,Senegal,Africa,Algeria,Africa,Senegal
1/23/1991,Ivory Coast,Africa,Cameroon,Africa,Ivory Coast
6/14/1991,South Korea,Asia,Australia,Oceania,South Korea
6/16/1991,Italy,Europe,Russia,Europe/Asia,Italy
7/7/1991,United States,North America,Honduras,North America,United States
8/8/1991,Czechoslovakia,Europe,Yugoslavia,Europe,Czechoslovakia
9/20/1991,Fiji,Oceania,Solomon Islands,Oceania,Fiji
9/28/1991,Egypt,Africa,Mali,Africa,Egypt
1/23/1992,Cameroon,Africa,Ivory Coast,Africa,Ivory Coast
1/26/1992,Ghana,Africa,Ivory Coast,Africa,Ivory Coast
6/22/1992,Netherlands,Europe,Denmark,Europe,Denmark
6/27/1992,Cuba,North America,Martinique,North America,Martinique
8/29/1992,Japan,Asia,South Korea,Asia,Japan
9/15/1992,Syria,Asia,Egypt,Africa,Egypt
11/8/1992,China PR,Asia,United Arab Emirates,Asia,China PR
11/25/1992,Uganda,Africa,Zambia,Africa,Uganda
1/23/1993,Japan,Asia,Switzerland,Europe,Switzerland
2/20/1993,Finland,Europe,Estonia,Europe,Finland
2/24/1993,Argentina,South America,Denmark,Europe,Argentina
5/27/1993,Bolivia,South America,Paraguay,South America,Bolivia
5/28/1993,Martinique,North America,Saint Kitts and Nevis,North America,Martinique
5/30/1993,Jamaica,North America,Martinique,North America,Martinique
6/26/1993,Colombia,South America,Uruguay,South America,Colombia
6/27/1993,Brazil,South America,Argentina,South America,Argentina
7/1/1993,Colombia,South America,Argentina,South America,Argentina
8/15/1993,Australia,Oceania,Canada,North America,Australia
10/24/1993,Burundi,Africa,Guinea,Africa,Guinea
1/29/1994,Burkina Faso,Africa,Guinea,Africa,Burkina Faso
4/6/1994,Nigeria,Africa,Ivory Coast,Africa,Nigeria
7/5/1994,Mexico,North America,Bulgaria,Europe,Bulgaria
7/10/1994,Romania,Europe,Sweden,Europe,Sweden
7/17/1994,Brazil,South America,Italy,Europe,Brazil
12/8/1994,Tanzania,Africa,Uganda,Africa,Tanzania
1/10/1995,Denmark,Europe,Mexico,North America,Denmark
1/13/1995,Mexico,North America,Nigeria,Africa,Mexico
2/26/1995,Japan,Asia,South Korea,Asia,Japan
3/31/1995,India,Asia,Bangladesh,Asia,India
5/21/1995,Antigua and Barbuda,North America,Saint Kitts and Nevis,North America,Antigua and Barbuda
6/9/1995,Paraguay,South America,Bolivia,South America,Paraguay
7/16/1995,Paraguay,South America,Colombia,South America,Colombia
7/17/1995,United States,North America,Mexico,North America,United States
7/17/1995,Brazil,South America,Argentina,South America,Brazil
7/23/1995,Uruguay,South America,Brazil,South America,Uruguay
8/24/1995,Fiji,Oceania,Solomon Islands,Oceania,Solomon Islands
11/28/1995,Mauritania,Africa,Sierra Leone,Africa,Sierra Leone
12/2/1995,Gabon,Africa,Cameroon,Africa,Cameroon
12/2/1995,Algeria,Africa,Ivory Coast,Africa,Ivory Coast
12/6/1995,Ethiopia,Africa,Zanzibar,Africa,Zanzibar
12/7/1995,Honduras,North America,Costa Rica,North America,Honduras
1/28/1996,Gabon,Africa,Tunisia,Africa,Tunisia
2/22/1996,Japan,Asia,Sweden,Europe,Sweden
4/28/1996,Barbados,North America,Jamaica,North America,Jamaica
5/5/1996,Guyana,South America,Suriname,South America,Suriname
6/5/1996,Martinique,North America,Suriname,South America,Martinique
6/22/1996,England,Europe,Spain,Europe,England
6/22/1996,France,Europe,Netherlands,Europe,France
6/26/1996,France,Europe,Czech Republic,Europe,Czech Republic
6/26/1996,England,Europe,Germany,Europe,Germany
8/25/1996,Ethiopia,Africa,Uganda,Africa,Ethiopia
11/29/1996,Sudan,Africa,Kenya,Africa,Sudan
12/11/1996,Morocco,Africa,Croatia,Europe,Croatia
12/12/1996,Croatia,Europe,Czech Republic,Europe,Croatia
12/19/1996,Iran,Asia,Saudi Arabia,Asia,Saudi Arabia
12/21/1996,Iran,Asia,Kuwait,Asia,Iran
12/21/1996,United Arab Emirates,Asia,Saudi Arabia,Asia,Saudi Arabia
12/27/1996,Benin,Africa,Burkina Faso,Africa,Benin
2/7/1997,Russia,Europe/Asia,Serbia,Europe,Russia
4/10/1997,India,Asia,Iraq,Asia,Iraq
6/22/1997,Ecuador,South America,Mexico,North America,Mexico
7/10/1997,Trinidad and Tobago,North America,Jamaica,North America,Trinidad and Tobago
10/20/1997,Haiti,North America,Cuba,North America,Haiti
10/22/1997,Cuba,North America,Cameroon,Africa,Cuba
12/7/1997,Gambia,Africa,Guinea,Africa,Guinea
1/31/1998,Egypt,Africa,South Korea,Asia,South Korea
1/31/1998,Iran,Asia,Chile,South America,Iran
2/21/1998,Burkina Faso,Africa,Tunisia,Africa,Burkina Faso
2/21/1998,Ivory Coast,Africa,Egypt,Africa,Egypt
2/27/1998,Burkina Faso,Africa,DR Congo,Africa,DR Congo
4/22/1998,Hungary,Europe,North Macedonia,Europe,Hungary
5/29/1998,Belgium,Europe,England,Europe,Belgium
5/29/1998,Morocco,Africa,France,Europe,Morocco
6/30/1998,Argentina,South America,England,Europe,Argentina
7/3/1998,France,Europe,Italy,Europe,France
7/7/1998,Brazil,South America,Netherlands,Europe,Brazil
9/5/1998,Indonesia,Asia,Thailand,Asia,Indonesia
11/17/1998,Guatemala,North America,Honduras,North America,Guatemala
11/18/1998,Guatemala,North America,Mexico,North America,Guatemala
12/2/1998,United Arab Emirates,Asia,North Korea,Asia,United Arab Emirates
5/22/1999,Malawi,Africa,Namibia,Africa,Namibia
6/16/1999,Thailand,Asia,New Zealand,Oceania,Thailand
6/19/1999,New Zealand,Oceania,Poland,Europe,Poland
7/10/1999,Mexico,North America,Peru,South America,Mexico
7/10/1999,Paraguay,South America,Uruguay,South America,Uruguay
7/13/1999,Uruguay,South America,Chile,South America,Uruguay
7/18/1999,Eswatini,Africa,Zimbabwe,Africa,Eswatini
7/31/1999,Namibia,Africa,South Africa,Africa,Namibia
8/3/1999,Rwanda,Africa,Kenya,Africa,Kenya
8/7/1999,Rwanda,Africa,Burundi,Africa,Rwanda
8/7/1999,Zambia,Africa,Mozambique,Africa,Zambia
8/28/1999,Namibia,Africa,Eswatini,Africa,Namibia
11/26/1999,Gabon,Africa,Togo,Africa,Togo
2/4/2000,Romania,Europe,Georgia,Asia,Romania
2/12/2000,South Africa,Africa,Tunisia,Africa,South Africa
2/13/2000,Nigeria,Africa,Cameroon,Africa,Cameroon
2/19/2000,United States,North America,Colombia,South America,Colombia
3/19/2000,Suriname,South America,Saint Lucia,North America,Suriname
4/29/2000,British Virgin Islands,North America,Sint Maarten,North America,British Virgin Islands
4/30/2000,British Virgin Islands,North America,Antigua and Barbuda,North America,Antigua and Barbuda
5/10/2000,Maldives,Asia,Sri Lanka,Asia,Sri Lanka
5/11/2000,Senegal,Africa,Mali,Africa,Senegal
5/20/2000,Malawi,Africa,Angola,Africa,Angola
5/21/2000,Barbados,North America,Cuba,North America,Barbados
6/4/2000,France,Europe,Japan,Asia,France
6/7/2000,Iran,Asia,Egypt,Africa,Egypt
6/11/2000,Lesotho,Africa,Zambia,Africa,Lesotho
6/29/2000,Netherlands,Europe,Italy,Europe,Italy
7/14/2000,Libya,Africa,Chad,Africa,Libya
7/16/2000,Mozambique,Africa,Lesotho,Africa,Lesotho
9/3/2000,Togo,Africa,Sierra Leone,Africa,Togo
10/4/2000,United Arab Emirates,Asia,South Korea,Asia,United Arab Emirates
10/28/2000,Kenya,Africa,Uganda,Africa,Uganda
12/2/2000,Ethiopia,Africa,Rwanda,Africa,Ethiopia
1/17/2001,China PR,Asia,Egypt,Africa,Egypt
1/27/2001,South Korea,Asia,Paraguay,South America,South Korea
2/11/2001,Eswatini,Africa,Zambia,Africa,Eswatini
7/12/2001,Ynys Môn,Europe,Jersey,Europe,Ynys Môn
7/13/2001,Guernsey,Europe,Ynys Môn,Europe,Guernsey
7/29/2001,Uruguay,South America,Honduras,North America,Honduras
8/3/2001,China PR,Asia,North Korea,Asia,North Korea
8/3/2001,Kuwait,Asia,Trinidad and Tobago,North America,Kuwait
8/5/2001,Kuwait,Asia,North Korea,Asia,North Korea
8/18/2001,Zambia,Africa,Angola,Africa,Angola
10/24/2001,Kenya,Africa,Uganda,Africa,Kenya
10/24/2001,Tanzania,Africa,DR Congo,Africa,Tanzania
12/18/2001,Ethiopia,Africa,Burundi,Africa,Ethiopia
1/6/2002,Martinique,North America,Haiti,North America,Martinique
1/26/2002,Canada,North America,Martinique,North America,Canada
1/27/2002,Mexico,North America,South Korea,Asia,South Korea
1/30/2002,United States,North America,Canada,North America,United States
2/10/2002,Senegal,Africa,Cameroon,Africa,Cameroon
2/12/2002,Cyprus,Europe,Switzerland,Europe,Cyprus
2/15/2002,China PR,Asia,Slovenia,Europe,Slovenia
2/16/2002,Thailand,Asia,North Korea,Asia,North Korea
